"ID","ID_sub","description","N_pairs","r2"
"1100","1100","drive_faster_than_motorway_speed_limituses","62980","0.0186809097445208"
"1110","1110","length_of_mobile_phone_useuses","73264","0.062581339307154"
"1120","1120","weekly_usage_of_mobile_phone_in_last_3_monthsuses","53342","0.0304185701980386"
"1130","1130","handsfree_devicespeakerphone_use_with_mobile_phone_in_last_3_monthuses","53841","0.0155475267026874"
"1140","1140","difference_in_mobile_phone_use_compared_to_two_years_previouslyuses","52506","0.00496666531494419"
"1150_2","1150","usual_side_of_head_for_mobile_phone_useuses","53963","0.000280334561042359"
"1150_1","1150","usual_side_of_head_for_mobile_phone_useuses","53963","0.000327976809351688"
"1150_3","1150","usual_side_of_head_for_mobile_phone_useuses","53963","8.70221149770295e-05"
"1160","1160","sleep_durationuses","74421","0.0132243644311444"
"1170","1170","getting_up_in_morninguses","74906","0.000406124458505404"
"1180","1180","morningevening_person_chronotypeuses","59990","0.0141050280199147"
"1190","1190","nap_during_dayuses","75014","0.0102316047854134"
"1200","1200","sleeplessness_insomniauses","74957","0.000375008403035392"
"1210","1210","snoringuses","71802","0.00523225508192007"
"1220","1220","daytime_dozing_sleeping_narcolepsyuses","74691","0.00145154909942751"
"1239","1239","current_tobacco_smokinguses","74982","0.0626273933318974"
"1249","1249","past_tobacco_smokinguses","67781","0.0379833287160379"
"1259","1259","smokingsmokers_in_householduses","68131","0.48947474956606"
"1269","1269","exposure_to_tobacco_smoke_at_homeuses","66373","0.0458045644265184"
"1279","1279","exposure_to_tobacco_smoke_outside_homeuses","58859","0.0148204861251533"
"1289","1289","cooked_vegetable_intakeuses","71961","0.073776219757318"
"1299","1299","salad_raw_vegetable_intakeuses","66637","0.0422400432604918"
"1309","1309","fresh_fruit_intakeuses","70064","0.0276175723462947"
"1319","1319","dried_fruit_intakeuses","62960","0.0762920011122177"
"1329","1329","oily_fish_intakeuses","74403","0.122992097777555"
"1339","1339","nonoily_fish_intakeuses","74592","0.085381064148153"
"1349","1349","processed_meat_intakeuses","74878","0.0381935665174008"
"1359","1359","poultry_intakeuses","74879","0.193927664943727"
"1369","1369","beef_intakeuses","74662","0.168277219765463"
"1379","1379","lambmutton_intakeuses","74348","0.191669024352842"
"1389","1389","pork_intakeuses","74417","0.142319487927599"
"1408","1408","cheese_intakeuses","72060","0.0748881838514193"
"1418_2","1418","milk_type_useduses","75000","0.264694512990034"
"1418_1","1418","milk_type_useduses","75000","0.279044356741808"
"1418_3","1418","milk_type_useduses","75000","0.311704053735797"
"1418_4","1418","milk_type_useduses","75000","0.0521043939628664"
"1418_5","1418","milk_type_useduses","75000","0.0238392790946826"
"1418_6","1418","milk_type_useduses","75000","0.0063445748664521"
"1428_3","1428","spread_typeuses","74891","0.213356741422487"
"1428_0","1428","spread_typeuses","74891","0.0424654398692684"
"1428_1","1428","spread_typeuses","74891","0.225244587761646"
"1428_2","1428","spread_typeuses","74891","0.181056613912385"
"1438","1438","bread_intakeuses","72455","0.0215440808808041"
"1448_3","1448","bread_typeuses","71086","0.117506747462215"
"1448_1","1448","bread_typeuses","71086","0.177957086841353"
"1448_2","1448","bread_typeuses","71086","0.00864148810751072"
"1448_4","1448","bread_typeuses","71086","0.0180753166167521"
"1458","1458","cereal_intakeuses","69591","0.103680328374672"
"1468_3","1468","cereal_typeuses","55906","0.041269422734521"
"1468_1","1468","cereal_typeuses","55906","0.0205890650029374"
"1468_2","1468","cereal_typeuses","55906","0.0135464870651578"
"1468_4","1468","cereal_typeuses","55906","0.0481047182332859"
"1468_5","1468","cereal_typeuses","55906","0.0166409287353102"
"1478","1478","salt_added_to_fooduses","75041","0.0524081689116105"
"1488","1488","tea_intakeuses","71217","0.0644170074430264"
"1498","1498","coffee_intakeuses","65342","0.0336664852753953"
"1508_2","1508","coffee_typeuses","49699","0.252727408283386"
"1508_1","1508","coffee_typeuses","49699","0.233394890237569"
"1508_3","1508","coffee_typeuses","49699","0.298920727939905"
"1508_4","1508","coffee_typeuses","49699","0.0097023254983571"
"1518","1518","hot_drink_temperatureuses","73844","0.00272124866506287"
"1528","1528","water_intakeuses","63562","0.017317249414877"
"1538_0","1538","major_dietary_changes_in_the_last_5_yearsuses","74805","0.0194619629531483"
"1538_1","1538","major_dietary_changes_in_the_last_5_yearsuses","74805","0.00199552489591233"
"1538_2","1538","major_dietary_changes_in_the_last_5_yearsuses","74805","0.0118975577786313"
"1548","1548","variation_in_dietuses","74729","0.0100706314730569"
"1558","1558","alcohol_intake_frequencyuses","74975","0.203709778365267"
"1568","1568","average_weekly_red_wine_intakeuses","47848","0.156889765703086"
"1578","1578","average_weekly_champagne_plus_white_wine_intakeuses","47750","0.180185760839208"
"1588","1588","average_weekly_beer_plus_cider_intakeuses","47929","0.0279270090831681"
"1598","1598","average_weekly_spirits_intakeuses","47619","0.113032592645751"
"1608","1608","average_weekly_fortified_wine_intakeuses","47892","0.144734801800642"
"1618","1618","alcohol_usually_taken_with_mealsuses","24926","0.447638441781634"
"1628","1628","alcohol_intake_versus_10_years_previouslyuses","67005","0.0647126545659867"
"1677","1677","breastfed_as_a_babyuses","44177","0.0268346293230965"
"1707_1","1707","handedness_chiralitylateralityuses","75024","7.0993810297022e-05"
"1707_2","1707","handedness_chiralitylateralityuses","75024","3.66187845129342e-05"
"1707_3","1707","handedness_chiralitylateralityuses","75024","1.43733650581273e-09"
"1717","1717","skin_colouruses","73379","3.31235846190819e-05"
"1727","1727","ease_of_skin_tanninguses","72511","0.00022137213367619"
"1737","1737","childhood_sunburn_occasionsuses","41804","0.0090104876721233"
"1747_3","1747","hair_colour_natural_before_greyinguses","74834","3.68034303863913e-05"
"1747_1","1747","hair_colour_natural_before_greyinguses","74834","4.84730811568774e-05"
"1747_2","1747","hair_colour_natural_before_greyinguses","74834","1.32577698576495e-05"
"1747_4","1747","hair_colour_natural_before_greyinguses","74834","9.18656106996239e-05"
"1747_5","1747","hair_colour_natural_before_greyinguses","74834","0.000336299716758672"
"1747_6","1747","hair_colour_natural_before_greyinguses","74834","0.000156756201573128"
"1757","1757","facial_ageinguses","63157","0.00289146073220562"
"1787","1787","maternal_smoking_around_birthuses","55946","0.00665348233284158"
"1797","1797","father_still_aliveuses","71879","0.045525788323012"
"1807","1807","fathers_age_at_deathuses","47256","0.000919283991168986"
"1835","1835","mother_still_aliveuses","73086","0.0424603672197493"
"1920","1920","mood_swingsuses","71614","0.0010135271825044"
"1930","1930","miserablenessuses","72693","0.00125029924537307"
"1940","1940","irritabilityuses","68652","0.000145982979025536"
"1950","1950","sensitivity_hurt_feelingsuses","71137","0.000973404897393156"
"1960","1960","fedup_feelingsuses","72141","0.00783114762639667"
"1970","1970","nervous_feelingsuses","71595","5.52365438196774e-05"
"1980","1980","worrier_anxious_feelingsuses","71620","0.0107029356127415"
"1990","1990","tense_highly_strunguses","71024","1.3871098519249e-09"
"2000","2000","worry_too_long_after_embarrassmentuses","69380","0.000406991719939977"
"2010","2010","suffer_from_nervesuses","70164","0.00144862240634609"
"2020","2020","loneliness_isolationuses","73263","0.00253603126848796"
"2030","2030","guilty_feelingsuses","71545","2.98095626118889e-06"
"2040","2040","risk_takinguses","70850","0.000517796108561413"
"2050","2050","frequency_of_depressed_mood_in_last_2_weeksuses","69172","0.0111001212440089"
"2060","2060","frequency_of_unenthusiasm_disinterest_in_last_2_weeksuses","70534","0.00897014295325077"
"2070","2070","frequency_of_tenseness_restlessness_in_last_2_weeksuses","69900","0.00544785193541219"
"2080","2080","frequency_of_tiredness_lethargy_in_last_2_weeksuses","70829","0.0140579432124994"
"2090","2090","seen_doctor_gp_for_nerves_anxiety_tension_or_depressionuses","74245","0.00345605841084527"
"2100","2100","seen_a_psychiatrist_for_nerves_anxiety_tension_or_depressionuses","74628","0.00126881138253744"
"2149","2149","lifetime_number_of_sexual_partnersuses","55220","0.198128011814459"
"2178","2178","overall_health_ratinguses","74660","0.0224567390140313"
"2188","2188","longstanding_illness_disability_or_infirmityuses","72026","0.00557208346983782"
"2237","2237","plays_computer_gamesuses","75007","0.0363655915283584"
"2267","2267","use_of_sunuv_protectionuses","74501","0.00738720521352619"
"2277","2277","frequency_of_solariumsunlamp_useuses","67962","0.105834352747177"
"2296","2296","falls_in_the_last_yearuses","74868","0.00114608577216511"
"2306","2306","weight_change_compared_with_1_year_agouses","73172","0.0141334771582485"
"2316","2316","wheeze_or_whistling_in_the_chest_in_last_yearuses","72738","0.0027097669910046"
"2395_1","2395","hairbalding_patternuses","0",NA
"2395_2","2395","hairbalding_patternuses","0",NA
"2395_3","2395","hairbalding_patternuses","0",NA
"2395_4","2395","hairbalding_patternuses","0",NA
"2443","2443","diabetes_diagnosed_by_doctoruses","74806","0.00138133996366322"
"2453","2453","cancer_diagnosed_by_doctoruses","74730","6.26249580244821e-05"
"2473","2473","other_serious_medical_conditiondisability_diagnosed_by_doctoruses","72779","0.00099661147255894"
"2492","2492","taking_other_prescription_medicationsuses","74730","0.0136771776241838"
"2624","2624","frequency_of_heavy_diy_in_last_4_weeksuses","14194","0.0144449553284442"
"2634","2634","duration_of_heavy_diyuses","14204","0.00940889260602487"
"2644","2644","light_smokers_at_least_100_smokes_in_lifetimeuses","6264","0.011232436973421"
"2654_7","2654","nonbutter_spread_type_detailsuses","31286","0.14255673046686"
"2654_2","2654","nonbutter_spread_type_detailsuses","31286","0.266545255672774"
"2654_4","2654","nonbutter_spread_type_detailsuses","31286","0.0610868361683079"
"2654_5","2654","nonbutter_spread_type_detailsuses","31286","0.00211336028766334"
"2654_6","2654","nonbutter_spread_type_detailsuses","31286","0.457069217448594"
"2654_8","2654","nonbutter_spread_type_detailsuses","31286","0.0486352519780837"
"2654_9","2654","nonbutter_spread_type_detailsuses","31286","0.049181851280909"
"2664_5","2664","reason_for_reducing_amount_of_alcohol_drunkuses","11565","0.0174835489744391"
"2664_1","2664","reason_for_reducing_amount_of_alcohol_drunkuses","11565","0.00150428403025514"
"2664_2","2664","reason_for_reducing_amount_of_alcohol_drunkuses","11565","0.000608172965841957"
"2664_3","2664","reason_for_reducing_amount_of_alcohol_drunkuses","11565","0.0267228539488643"
"2664_4","2664","reason_for_reducing_amount_of_alcohol_drunkuses","11565","0.0181953842173491"
"2714","2714","age_when_periods_started_menarcheuses","0",NA
"2724","2724","had_menopauseuses","0",NA
"2784","2784","ever_taken_oral_contraceptive_pilluses","0",NA
"2794","2794","age_started_oral_contraceptive_pilluses","0",NA
"2867","2867","age_started_smoking_in_former_smokersuses","7226","0.0179676828193425"
"2877_1","2877","type_of_tobacco_previously_smokeduses","7277","0.005435838806049"
"2877_2","2877","type_of_tobacco_previously_smokeduses","7277","0.0356864905494249"
"2877_3","2877","type_of_tobacco_previously_smokeduses","7277","0.000114614275793152"
"2887","2887","number_of_cigarettes_previously_smoked_dailyuses","6715","0.00896884500809448"
"2907","2907","ever_stopped_smoking_for_6_monthsuses","7094","0.0106539514379368"
"2926","2926","number_of_unsuccessful_stopsmoking_attemptsuses","6068","0.0201783591270977"
"2936","2936","likelihood_of_resuming_smokinguses","7039","0.0129408679781755"
"2966","2966","age_high_blood_pressure_diagnoseduses","5388","0.0441538077486399"
"2976","2976","age_diabetes_diagnoseduses","261","0.100105861068466"
"2986","2986","started_insulin_within_one_year_diagnosis_of_diabetesuses","274","0.0984213517974104"
"3160","3160","weight_manual_entry_f3160_0_0","112","0.0210804509173574"
"3426","3426","job_involve_night_shift_workuses","1067","0.00617342845623609"
"3436","3436","age_started_smoking_in_current_smokersuses","1081","0.0169295853639094"
"3446_1","3446","type_of_tobacco_currently_smokeduses","1106","0.102749526965671"
"3446_2","3446","type_of_tobacco_currently_smokeduses","1106","0.17922830492186"
"3446_3","3446","type_of_tobacco_currently_smokeduses","1106","0.00614154076306773"
"3456","3456","number_of_cigarettes_currently_smoked_daily_current_cigarette_smokersuses","997","0.0561951426403863"
"3466","3466","time_from_waking_to_first_cigaretteuses","1002","0.105373412392967"
"3476","3476","difficulty_not_smoking_for_1_dayuses","1006","0.0106199498283659"
"3486","3486","ever_tried_to_stop_smokinguses","1096","0.00668307903669075"
"3496","3496","wants_to_stop_smokinguses","1082","0.0673643089747001"
"3526","3526","mothers_age_at_deathuses","32767","0.00376328225037037"
"3581","3581","age_at_menopause_last_menstrual_perioduses","0",NA
"3637","3637","frequency_of_other_exercises_in_last_4_weeksuses","21822","0.0416227251635543"
"3647","3647","duration_of_other_exercisesuses","21821","0.0529136841222986"
"3669","3669","lifetime_number_of_samesex_sexual_partnersuses","32","0.0108043217286915"
"3710","3710","length_of_menstrual_cycleuses","0",NA
"3731","3731","former_alcohol_drinkeruses","1012","0.102715214851239"
"3761","3761","age_hay_fever_rhinitis_or_eczema_diagnoseduses","2810","0.00586878179796839"
"3859_5","3859","reason_former_drinker_stopped_drinking_alcoholuses","243","0.000113134082983391"
"3859_1","3859","reason_former_drinker_stopped_drinking_alcoholuses","243","0.00921413341455985"
"3859_2","3859","reason_former_drinker_stopped_drinking_alcoholuses","243","0.000643707756678468"
"3859_3","3859","reason_former_drinker_stopped_drinking_alcoholuses","243","0.0555240588607024"
"3859_4","3859","reason_former_drinker_stopped_drinking_alcoholuses","243","0.0335597768519172"
"3894","3894","age_heart_attack_diagnoseduses","37","0.00243829963175497"
"3992","3992","age_emphysemachronic_bronchitis_diagnoseduses","15","0.233247260323854"
"4012","4012","age_deepvein_thrombosis_dvt_blood_clot_in_leg_diagnoseduses","24","0.0135884240438519"
"4041","4041","gestational_diabetes_onlyuses","0",NA
"4056","4056","age_stroke_diagnoseduses","24","0.163377097535956"
"4079","4079","diastolic_blood_pressure_automated_reading_f4079_0_0","69467","0.00635091754999477"
"4080","4080","systolic_blood_pressure_automated_reading_f4080_0_0","69466","0.0174382393471901"
"4407","4407","average_monthly_red_wine_intakeuses","2033","0.127232767975783"
"4418","4418","average_monthly_champagne_plus_white_wine_intakeuses","2030","0.112345427854589"
"4429","4429","average_monthly_beer_plus_cider_intakeuses","2041","0.0241405511151734"
"4440","4440","average_monthly_spirits_intakeuses","2030","0.0445947857894705"
"4451","4451","average_monthly_fortified_wine_intakeuses","2054","0.0452276797324881"
"4462","4462","average_monthly_intake_of_other_alcoholic_drinksuses","2053","0.0319271952602116"
"4526","4526","happinessuses","24493","0.0594829546752182"
"4537","4537","workjob_satisfactionuses","12476","0.0142405355938757"
"4548","4548","health_satisfactionuses","24468","0.00803026756107163"
"4559","4559","family_relationship_satisfactionuses","24503","0.082043865324401"
"4570","4570","friendships_satisfactionuses","24153","0.0339954441516224"
"4581","4581","financial_situation_satisfactionuses","24412","0.230898933525917"
"4598","4598","ever_depressed_for_a_whole_weekuses","23656","0.00511598024602519"
"4609","4609","longest_period_of_depressionuses","3921","0.00807950441576682"
"4620","4620","number_of_depression_episodesuses","3237","0.000409049936590401"
"4631","4631","ever_unenthusiasticdisinterested_for_a_whole_weekuses","22690","0.00463167396951365"
"4642","4642","ever_manichyper_for_2_daysuses","23596","0.000346495777446024"
"4653","4653","ever_highly_irritableargumentative_for_2_daysuses","23581","0.00482752302145467"
"4717","4717","shortness_of_breath_walking_on_level_grounduses","23907","0.00329298944783826"
"5364","5364","average_weekly_intake_of_other_alcoholic_drinksuses","15586","0.00152930641494957"
"5375","5375","longest_period_of_unenthusiasm_disinterestuses","1530","0.00238337645029989"
"5386","5386","number_of_unenthusiasticdisinterested_episodesuses","1332","4.19061054536742e-05"
"5663","5663","length_of_longest_manicirritable_episodeuses","678","6.89303170813897e-06"
"5674","5674","severity_of_manicirritable_episodesuses","817","0.00111703439396926"
"5959","5959","previously_smoked_cigarettes_on_mostall_daysuses","6",NA
"6138_3","6138","qualificationsuses","73769","0.0191369916537705"
"6138_100","6138","qualificationsuses","73769","0.0960873381224981"
"6138_1","6138","qualificationsuses","73769","0.173480482318505"
"6138_2","6138","qualificationsuses","73769","0.0534849211585164"
"6138_5","6138","qualificationsuses","73769","0.00337713780702103"
"6138_4","6138","qualificationsuses","73769","0.0282640346616772"
"6138_6","6138","qualificationsuses","73769","0.0246741598508219"
"6142_2","6142","current_employment_statususes","74720","0.350168060175298"
"6142_1","6142","current_employment_statususes","74720","0.256660074619077"
"6142_5","6142","current_employment_statususes","74720","0.0014302917041121"
"6142_3","6142","current_employment_statususes","74720","0.00105360223530828"
"6142_7","6142","current_employment_statususes","74720","0.000876033304808188"
"6142_4","6142","current_employment_statususes","74720","0.0128813880645608"
"6142_6","6142","current_employment_statususes","74720","0.0115991502784432"
"6142_100","6142","current_employment_statususes","74720","0.000460455029623487"
"6143_1","6143","transport_type_for_commuting_to_job_workplaceuses","27079","0.0300886650833935"
"6143_3","6143","transport_type_for_commuting_to_job_workplaceuses","27079","0.0245685685469231"
"6143_2","6143","transport_type_for_commuting_to_job_workplaceuses","27079","0.00860647858419154"
"6143_4","6143","transport_type_for_commuting_to_job_workplaceuses","27079","0.0335632670688269"
"6143_100","6143","transport_type_for_commuting_to_job_workplaceuses","27079","6.33619474547431e-05"
"6144_5","6144","never_eat_eggs_dairy_wheat_sugaruses","74686","0.0137836392583732"
"6144_4","6144","never_eat_eggs_dairy_wheat_sugaruses","74686","0.0142777329054646"
"6144_3","6144","never_eat_eggs_dairy_wheat_sugaruses","74686","0.000409587568690434"
"6144_1","6144","never_eat_eggs_dairy_wheat_sugaruses","74686","0.00248188258989334"
"6144_2","6144","never_eat_eggs_dairy_wheat_sugaruses","74686","0.00237393628953416"
"6145_100","6145","illness_injury_bereavement_stress_in_last_2_yearsuses","74373","0.104243977651959"
"6145_5","6145","illness_injury_bereavement_stress_in_last_2_yearsuses","74373","0.0849331194659442"
"6145_1","6145","illness_injury_bereavement_stress_in_last_2_yearsuses","74373","0.000137763866695014"
"6145_2","6145","illness_injury_bereavement_stress_in_last_2_yearsuses","74373","0.00851498831850295"
"6145_3","6145","illness_injury_bereavement_stress_in_last_2_yearsuses","74373","0.167350416542933"
"6145_6","6145","illness_injury_bereavement_stress_in_last_2_yearsuses","74373","0.163022338577034"
"6145_4","6145","illness_injury_bereavement_stress_in_last_2_yearsuses","74373","0.00148537908709383"
"6150_2","6150","vascularheart_problems_diagnosed_by_doctoruses","74850","0.000949614311179212"
"6150_100","6150","vascularheart_problems_diagnosed_by_doctoruses","74850","0.00349641336089007"
"6150_4","6150","vascularheart_problems_diagnosed_by_doctoruses","74850","0.00233673779242762"
"6150_3","6150","vascularheart_problems_diagnosed_by_doctoruses","74850","0.000131058409212856"
"6150_1","6150","vascularheart_problems_diagnosed_by_doctoruses","74850","1.59735147733375e-05"
"6152_100","6152","blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctoruses","74902","8.04989175150903e-06"
"6152_9","6152","blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctoruses","74902","2.59334492979473e-05"
"6152_6","6152","blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctoruses","74902","6.08086199217789e-05"
"6152_8","6152","blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctoruses","74902","1.30271993733644e-05"
"6152_5","6152","blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctoruses","74902","4.95599867883489e-07"
"6152_7","6152","blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctoruses","74902","1.75539657122977e-05"
"6153_100","6153","medication_for_cholesterol_blood_pressure_diabetes_or_take_exogenous_hormonesuses","0",NA
"6153_5","6153","medication_for_cholesterol_blood_pressure_diabetes_or_take_exogenous_hormonesuses","0",NA
"6153_4","6153","medication_for_cholesterol_blood_pressure_diabetes_or_take_exogenous_hormonesuses","0",NA
"6153_1","6153","medication_for_cholesterol_blood_pressure_diabetes_or_take_exogenous_hormonesuses","0",NA
"6153_2","6153","medication_for_cholesterol_blood_pressure_diabetes_or_take_exogenous_hormonesuses","0",NA
"6153_3","6153","medication_for_cholesterol_blood_pressure_diabetes_or_take_exogenous_hormonesuses","0",NA
"6154_100","6154","medication_for_pain_relief_constipation_heartburnuses","73645","0.0100981809375268"
"6154_2","6154","medication_for_pain_relief_constipation_heartburnuses","73645","0.0107426674967684"
"6154_1","6154","medication_for_pain_relief_constipation_heartburnuses","73645","0.0126692711589688"
"6154_5","6154","medication_for_pain_relief_constipation_heartburnuses","73645","0.00733250624178594"
"6154_3","6154","medication_for_pain_relief_constipation_heartburnuses","73645","0.0108970052035802"
"6154_4","6154","medication_for_pain_relief_constipation_heartburnuses","73645","0.00120848450531804"
"6154_6","6154","medication_for_pain_relief_constipation_heartburnuses","73645","0.000246585705879466"
"6155_100","6155","vitamin_and_mineral_supplementsuses","74440","0.0891642492888029"
"6155_7","6155","vitamin_and_mineral_supplementsuses","74440","0.0961313260069004"
"6155_5","6155","vitamin_and_mineral_supplementsuses","74440","0.0287700927980737"
"6155_3","6155","vitamin_and_mineral_supplementsuses","74440","0.0740835048706269"
"6155_6","6155","vitamin_and_mineral_supplementsuses","74440","0.0184982823819302"
"6155_4","6155","vitamin_and_mineral_supplementsuses","74440","0.014558866462757"
"6155_2","6155","vitamin_and_mineral_supplementsuses","74440","0.0200904575528304"
"6155_1","6155","vitamin_and_mineral_supplementsuses","74440","0.0184426081410753"
"6156_12","6156","manichyper_symptomsuses","1078","0.000771850773622455"
"6156_11","6156","manichyper_symptomsuses","1078","0.000497168680348002"
"6156_100","6156","manichyper_symptomsuses","1078","0.00640091778994709"
"6156_13","6156","manichyper_symptomsuses","1078","0.000405846865483013"
"6156_15","6156","manichyper_symptomsuses","1078","1.7884199428335e-05"
"6156_14","6156","manichyper_symptomsuses","1078","7.87914414683294e-06"
"6157_2","6157","why_stopped_smokinguses","7179","0.00155451754950646"
"6157_3","6157","why_stopped_smokinguses","7179","0.0106387933581681"
"6157_1","6157","why_stopped_smokinguses","7179","0.00436773120746187"
"6157_100","6157","why_stopped_smokinguses","7179","0.00453876202935343"
"6157_4","6157","why_stopped_smokinguses","7179","0.0213766947227612"
"6158_1","6158","why_reduced_smokinguses","203","0.000620732464307883"
"6158_3","6158","why_reduced_smokinguses","203","0.0207178406369676"
"6158_100","6158","why_reduced_smokinguses","203","0.0339356531604367"
"6158_4","6158","why_reduced_smokinguses","203","0.071235134816908"
"6158_2","6158","why_reduced_smokinguses","203","0.00439618910992976"
"6162_1","6162","types_of_transport_used_excluding_workuses","74471","0.0679315868401419"
"6162_2","6162","types_of_transport_used_excluding_workuses","74471","0.0210491299837345"
"6162_3","6162","types_of_transport_used_excluding_workuses","74471","0.0986734624382307"
"6162_4","6162","types_of_transport_used_excluding_workuses","74471","0.0501576515592142"
"6162_100","6162","types_of_transport_used_excluding_workuses","74471","0.000178082524982005"
"6164_3","6164","types_of_physical_activity_in_last_4_weeksuses","74442","0.0282361901901263"
"6164_1","6164","types_of_physical_activity_in_last_4_weeksuses","74442","0.0937748588736004"
"6164_4","6164","types_of_physical_activity_in_last_4_weeksuses","74442","0.00672476838215912"
"6164_5","6164","types_of_physical_activity_in_last_4_weeksuses","74442","0.0017954294480171"
"6164_2","6164","types_of_physical_activity_in_last_4_weeksuses","74442","0.0733033654714898"
"6164_100","6164","types_of_physical_activity_in_last_4_weeksuses","74442","0.0127119991318981"
"6177_100","6177","medication_for_cholesterol_blood_pressure_or_diabetesuses","0",NA
"6177_2","6177","medication_for_cholesterol_blood_pressure_or_diabetesuses","0",NA
"6177_1","6177","medication_for_cholesterol_blood_pressure_or_diabetesuses","0",NA
"6177_3","6177","medication_for_cholesterol_blood_pressure_or_diabetesuses","0",NA
"135","135","number_of_selfreported_noncancer_illnesses_f135_0_0","75040","0.0159083135892629"
"6179_100","6179","mineral_and_other_dietary_supplementsuses","74810","0.111174828705498"
"6179_1","6179","mineral_and_other_dietary_supplementsuses","74810","0.152626887073954"
"6179_2","6179","mineral_and_other_dietary_supplementsuses","74810","0.0992090577823153"
"6179_5","6179","mineral_and_other_dietary_supplementsuses","74810","0.00495724036697705"
"6179_4","6179","mineral_and_other_dietary_supplementsuses","74810","0.0592016027072593"
"6179_3","6179","mineral_and_other_dietary_supplementsuses","74810","0.0110879654365123"
"6179_6","6179","mineral_and_other_dietary_supplementsuses","74810","0.0831761114085124"
"20001_1022","20001","cancer_code_selfreporteduses","75048","1.15149018618035e-05"
"20001_1039","20001","cancer_code_selfreporteduses","75048","2.18268762215719e-06"
"20001_1060","20001","cancer_code_selfreporteduses","75048","2.66933607114122e-06"
"20001_1002","20001","cancer_code_selfreporteduses","75048","0.000436580464273712"
"20001_1040","20001","cancer_code_selfreporteduses","75048","4.58333975257668e-06"
"20001_1035","20001","cancer_code_selfreporteduses","75048","3.27850548905511e-06"
"20001_1041","20001","cancer_code_selfreporteduses","75048","8.80221713423643e-06"
"20001_1061","20001","cancer_code_selfreporteduses","75048","0.000121755994855946"
"20001_1059","20001","cancer_code_selfreporteduses","75048","2.40677635825993e-05"
